id,,Style,
3,Cat5,Cat7,FALSE
4,Cat5,Cat2,FALSE
5,Cat12,Cat3,FALSE
7,Cat12,Cat13,FALSE
13,Cat12,Cat3,FALSE
14,Cat5,Cat7,FALSE
16,Cat12,Cat11,FALSE
22,Cat8,Cat1,FALSE
23,Cat12,Cat13,FALSE
26,Cat8,Cat3,FALSE
35,Cat12,Cat9,FALSE
36,Cat3,Cat3,TRUE
43,Cat3,Cat9,FALSE
52,Cat12,Cat5,FALSE
55,Cat5,Cat12,FALSE
57,Cat12,Cat6,FALSE
59,Cat8,Cat5,FALSE
63,Cat12,Cat12,TRUE
65,Cat12,Cat4,FALSE
68,Cat12,Cat12,TRUE
69,Cat5,Cat5,TRUE
80,Cat5,Cat13,FALSE
82,Cat3,Cat2,FALSE
92,Cat5,Cat6,FALSE
95,Cat12,Cat3,FALSE
98,Cat3,Cat12,FALSE
99,Cat12,Cat12,TRUE
100,Cat12,Cat12,TRUE
106,Cat12,Cat12,TRUE
107,Cat12,Cat12,TRUE
113,Cat5,Cat4,FALSE
114,Cat5,Cat4,FALSE
115,Cat13,Cat2,FALSE
118,Cat8,Cat3,FALSE
123,Cat5,Cat6,FALSE
134,Cat12,Cat5,FALSE
136,Cat13,Cat12,FALSE
137,Cat8,Cat5,FALSE
138,Cat8,Cat6,FALSE
146,Cat12,Cat14,FALSE
152,Cat5,Cat5,TRUE
153,Cat13,Cat13,TRUE
156,Cat5,Cat4,FALSE
164,Cat5,Cat4,FALSE
165,Cat13,Cat5,FALSE
167,Cat12,Cat13,FALSE
175,Cat13,Cat13,TRUE
181,Cat12,Cat12,TRUE
184,Cat3,Cat12,FALSE
185,Cat12,Cat13,FALSE
193,Cat8,Cat2,FALSE
194,Cat12,Cat12,TRUE
198,Cat3,Cat8,FALSE
201,Cat12,Cat12,TRUE
205,Cat8,Cat12,FALSE
212,Cat12,Cat4,FALSE
214,Cat5,Cat7,FALSE
218,Cat5,Cat7,FALSE
220,Cat5,Cat10,FALSE
222,Cat8,Cat13,FALSE
229,Cat3,Cat3,TRUE
246,Cat12,Cat10,FALSE
,,,0.241935484
