ID,Category,Style,
3,Cat8,Cat7,FALSE
4,Cat8,Cat2,FALSE
5,Cat13,Cat3,FALSE
7,Cat13,Cat13,TRUE
13,Cat3,Cat3,TRUE
14,Cat5,Cat7,FALSE
16,Cat12,Cat11,FALSE
22,Cat1,Cat1,TRUE
23,Cat13,Cat13,TRUE
26,Cat8,Cat3,FALSE
35,Cat12,Cat9,FALSE
36,Cat3,Cat3,TRUE
43,Cat9,Cat9,TRUE
52,Cat12,Cat5,FALSE
55,Cat1,Cat12,FALSE
57,Cat12,Cat6,FALSE
59,Cat5,Cat5,TRUE
63,Cat12,Cat12,TRUE
65,Cat12,Cat4,FALSE
68,Cat12,Cat12,TRUE
69,Cat5,Cat5,TRUE
80,Cat13,Cat13,TRUE
82,Cat13,Cat2,FALSE
92,Cat8,Cat6,FALSE
95,Cat8,Cat3,FALSE
98,Cat12,Cat12,TRUE
99,Cat12,Cat12,TRUE
100,Cat3,Cat12,FALSE
106,Cat12,Cat12,TRUE
107,Cat12,Cat12,TRUE
113,Cat1,Cat4,FALSE
114,Cat3,Cat4,FALSE
115,Cat8,Cat2,FALSE
118,Cat8,Cat3,FALSE
123,Cat10,Cat6,FALSE
134,Cat12,Cat5,FALSE
136,Cat3,Cat12,FALSE
137,Cat12,Cat5,FALSE
138,Cat8,Cat6,FALSE
146,Cat9,Cat14,FALSE
152,Cat5,Cat5,TRUE
153,Cat13,Cat13,TRUE
156,Cat8,Cat4,FALSE
164,Cat4,Cat4,TRUE
165,Cat5,Cat5,TRUE
167,Cat13,Cat13,TRUE
175,Cat8,Cat13,FALSE
181,Cat12,Cat12,TRUE
184,Cat5,Cat12,FALSE
185,Cat9,Cat13,FALSE
193,Cat12,Cat2,FALSE
194,Cat12,Cat12,TRUE
198,Cat5,Cat8,FALSE
201,Cat12,Cat12,TRUE
205,Cat3,Cat12,FALSE
212,Cat12,Cat4,FALSE
214,Cat7,Cat7,TRUE
218,Cat7,Cat7,TRUE
220,Cat8,Cat10,FALSE
222,Cat13,Cat13,TRUE
229,Cat13,Cat3,FALSE
246,Cat10,Cat10,TRUE
,,,0.435483871
