"imageID","range0","range1","range2","range3","range4","range5","range6","range7","range8","range9","range10","range11","range12","range13","range14","range15","range16","range17","range18","range19","range20","range21","range22","range23","range24","range25","range26","range27","range28","range29","range30","range31","range32","range33","range34","range35","range36","range37","range38","range39","range40","range41","range42","range43","range44","range45","range46","range47","range48","range49","range50","range51","range52","range53","range54","range55","range56","range57","range58","range59","range60","range61","range62","range63","grayscale","contrast","Style"
72,0.264014084507042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209210042865891,0,0,0,0,0.00979485609308022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245097979179424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.0384,137.103,"Cat9"
195,0,0.208163742690058,0,0,0,0.230409356725146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323391812865497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089280701754386,0.148754385964912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.9906,143.445,"Cat12"
101,0,0.172490385370065,0.318314888941213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174060120869633,0,0,0.276634487088926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0585001177301625,129.3136,174.917,"Cat6"
217,0.12259375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229935416666667,0,0,0,0,0,0,0,0,0,0.165985416666667,0,0,0,0,0,0,0,0,0,0,0.202708333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278777083333333,145.6528,155.615,"Cat7"
230,0.507695867768595,0.16815867768595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066396694214876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060095867768595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197652892561983,106.7326,225.69,"Cat6"
12,0.188930659983292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102890559732665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0993316624895572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239799498746867,135.2268,229.772,"Cat13"
128,0.101785049215217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0819313647246608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14000798084597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263963820164937,142.2382,197.69,"Cat13"
216,0.134926136363636,0,0,0,0,0,0,0.0811988636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105511363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300289772727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378073863636364,134.6226,213.661,"Cat1"
133,0.0945014749262537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172377581120944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257498525073746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242424778761062,0,0,0,0,0.233197640117994,133.2608,215.238,"Cat8"
110,0.222924446997989,0,0,0,0,0.265710284401034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224576271186441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194376615914967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924123814995691,124.5096,187.874,"Cat5"
