"imageID","category.Cat1.265","category.Cat10.265","category.Cat11.265","category.Cat12.265","category.Cat13.265","category.Cat14.265","category.Cat2.265","category.Cat3.265","category.Cat4.265","category.Cat5.265","category.Cat6.265","category.Cat7.265","category.Cat8.265","category.Cat9.265","max"
3,0.0990549046958473,0.0814261468871777,0.147449806125218,0.0105073862976431,0.00827387436045152,0.0223269706050646,0.0168730518673889,0.117400931773992,0.0394937069754962,0.0245312866871712,0.148498162153774,0.220949364088778,0.0580863604213592,0.00512804706063761,0.220949364088778
4,0.0967401157816299,0.0828162853929054,0.148266416766052,0.0110198750993387,0.0126060978619588,0.0236082076838637,0.0155168698013156,0.0996658805097541,0.0434286843509584,0.0268387875482516,0.125811346541514,0.255108459514198,0.053264305503977,0.00530866764428253,0.255108459514198
5,0.0149477783971289,0.00455105093504135,0.00380987727779666,0.05179087137728,0.224241077221565,0.0776601286110676,0.146745448497075,0.377475851771829,0.00402718388896759,0.00803038727428684,0.0494915486274855,0.00452893196710876,0.00928577097086037,0.0234140931825078,0.377475851771829
7,0.0285757595199421,0.00498894958806446,0.0225873238517165,0.00477598852164659,0.676679225272014,0.00772234963396383,0.1241943369265,0.0308532381297693,0.00443125192004738,0.0242606642276687,0.0460980631069903,0.0101559578139779,0.0101900383007822,0.00448685318691714,0.676679225272014
13,0.0297023962901244,0.00575569429680464,0.00822596115380979,0.00559419049118803,0.0567809118255028,0.232774041168233,0.174291742596161,0.272732192277602,0.00461820589248732,0.0207576418100666,0.00974800382924962,0.00589820159635621,0.024485161676898,0.148635655095517,0.272732192277602
14,0.0809655952710645,0.00679755136097346,0.00613843759830298,0.0205929030993493,0.0344486611195326,0.0251475459469706,0.0942129381568771,0.0222095083804536,0.0209559475929733,0.602881757206354,0.021717994785035,0.00947743196967247,0.0298291624555262,0.0246245650569152,0.602881757206354
16,0.113209238680496,0.0183724355228167,0.0154314232329933,0.0427200433489827,0.0759854929935585,0.060316355356853,0.0745602831810011,0.0886297378848452,0.0170734012316633,0.0374176225951953,0.282431637297129,0.0141401128992264,0.0405514847107523,0.119160731064487,0.282431637297129
22,0.208142087568112,0.015317209554915,0.130679868866679,0.013621758406628,0.230382660967949,0.0152341524264919,0.0445477496131905,0.109031445657165,0.00989418301395946,0.0956088549327984,0.0337308140790175,0.0326963877557344,0.0465337719460545,0.014579055211306,0.230382660967949
23,0.0584890022197039,0.0191525698735404,0.0210372656242909,0.014643161457867,0.0739148832009879,0.0678416504904314,0.229221860126433,0.167825026893787,0.0133371651552943,0.121688780056646,0.114531487413329,0.00974129287173156,0.0266097340830869,0.0619661205328716,0.229221860126433
26,0.050499376811912,0.0669317374766379,0.0626371874135764,0.00515838663909712,0.0514554994204391,0.00541150506925491,0.00985505096812472,0.125371622561157,0.00927132291896921,0.0127243555271416,0.0217321105998841,0.0379767284613535,0.538147690457112,0.00282742567534034,0.538147690457112
35,0.0110214929084104,0.00369288265970249,0.00228460959028711,0.0118148652456967,0.0121780401200113,0.0462944187208822,0.0229442049194858,0.0443880676838985,0.00321043527377016,0.0049175651005362,0.121418932053989,0.00303911661682388,0.0175047450782912,0.695290624028215,0.695290624028215
36,0.0238739157592056,0.00616122008723015,0.00601628014537734,0.0199458821599665,0.0917729804284344,0.0769977567472461,0.0972401311619791,0.406960151852904,0.0409510108344915,0.0730894767222195,0.090658535049827,0.0284128514083194,0.0301769755863004,0.0077428320564995,0.406960151852904
43,0.0195852977810371,0.00587489830609213,0.0080588133655052,0.548865009679134,0.00801711831886635,0.038374083196239,0.0424727347819732,0.119046602351353,0.00898525889092323,0.0145558020413482,0.10863091705219,0.0232927918963166,0.0207606303099016,0.0334800420291205,0.548865009679134
52,0.0171796161363955,0.00595169678772817,0.00432102442029405,0.0159438843581432,0.0164013623278812,0.271025460547102,0.0659387537179547,0.024227587832645,0.0223782243270584,0.29999962785658,0.0661805081271186,0.00779523135289758,0.0276331340104688,0.155023888197733,0.29999962785658
55,0.0320163889223271,0.0163547984061465,0.00676325483639943,0.0489646385797369,0.0402748048611306,0.0130324815282498,0.0227247764965018,0.137977251324096,0.194871933737275,0.316958551092201,0.0301574034651763,0.00840923713146979,0.118878976535613,0.0126155030836778,0.316958551092201
57,0.130973931272754,0.0116614855594055,0.0115281806007881,0.0290156160666705,0.0250483017078023,0.0589708209266112,0.0768303945824603,0.159687148172464,0.0572701158662294,0.0328879919384412,0.338902921176742,0.0113724397250705,0.0393238511255434,0.0165268012790174,0.338902921176742
59,0.0403823209294448,0.00772841279630567,0.00569370661795185,0.016968169550178,0.017618050762926,0.106405029574633,0.0315672030220566,0.0648838105220328,0.0217973595153744,0.381290932418908,0.00955023617659591,0.0113814284208552,0.196355278052727,0.0883780616400104,0.381290932418908
63,0.00794253173001367,0.00200783853547708,0.00188831269328347,0.69729727393839,0.00893040990210204,0.184253033375534,0.00484630615149459,0.0349235930713714,0.00327146506299521,0.00443375311633788,0.0254054548537113,0.00286456353180019,0.0125683145665295,0.00936714947095984,0.69729727393839
65,0.0707504691945209,0.00671210039603551,0.00548898799861379,0.0812483951661219,0.0113111413506635,0.0156745911774695,0.0111939224263526,0.0492558394037338,0.202041185272953,0.382642416464792,0.0432943037832697,0.0394029014970232,0.0668251056777552,0.0141586401906959,0.382642416464792
68,0.0371180635508948,0.00220228165043763,0.00158557208610926,0.589318695716463,0.00397578701805669,0.105634941692037,0.0126726615805878,0.0450954655783234,0.00206630592440939,0.00321905562169956,0.0465857889064675,0.00188751929969019,0.0127359239290669,0.135901937445756,0.589318695716463
69,0.0317568154675536,0.00673268180634361,0.0096062324330826,0.0117950948363146,0.0357694717437403,0.00567364924151685,0.00961809472143758,0.0269056621162771,0.0158893527583558,0.805335167112612,0.0097178127673631,0.00707599197080867,0.0162762007381357,0.00784777228645837,0.805335167112612
80,0.0735666210601197,0.0131420261662725,0.00956331176628456,0.0101556308020348,0.14751175325692,0.0231988644597421,0.0686409801348628,0.131267546918674,0.0299160612863544,0.348315713106002,0.014670620795012,0.0363865909683619,0.0855793768833007,0.00808490239605825,0.348315713106002
82,0.0412323414909657,0.00889187664663516,0.00572067675364065,0.00639067944383885,0.0361548718029668,0.273550848833831,0.146724926661004,0.13929424119227,0.00673664324069208,0.0319781177913245,0.0515671003414893,0.00739300805148458,0.034513578278346,0.209851089471511,0.273550848833831
92,0.0527869380845277,0.0707324126097253,0.0289813343427496,0.00770459532330325,0.314862076151021,0.0163214503267198,0.0354588136550515,0.119511433090606,0.00918126733460545,0.0277043850212019,0.00971830423413426,0.0391220507208089,0.260979759171319,0.0069351799342257,0.314862076151021
